,datetime,service,message
0,2021-08-01,dbservice1,"2021-08-01 03:11:23,283 | INFO | 0.0.0.4 | 172.17.0.3 | dbservice1 | upload business logs on 2021-07-31 successfully
"
1,2021-08-01,dbservice1,"2021-08-01 03:14:01,301 | INFO | 0.0.0.4 | 172.17.0.3 | dbservice1 | upload trace logs on 2021-07-31 successfully
"
2,2021-08-01,dbservice1,"2021-08-01 03:14:01,480 | INFO | 0.0.0.4 | 172.17.0.3 | dbservice1 | upload run_logs logs on 2021-07-31 successfully
"
3,2021-08-01,dbservice1,"2021-08-01 07:55:01,041 | WARNING | 0.0.0.4 | 172.17.0.3 | dbservice1 | [memory_anomalies] trigger a high memory program, start at 2021-08-01 07:44:59.839057 and lasts 600 seconds and use 1g memory
"
4,2021-08-01,dbservice1,"2021-08-01 18:47:52,353 | WARNING | 0.0.0.4 | 172.17.0.3 | dbservice1 | [cpu_anomalies] trigger a parallel fast sorting program , start at 2021-08-01 18:47:52.348900 and lasts 2.9800431728363037 seconds
"
5,2021-08-01,dbservice1,"2021-08-01 21:19:52,654 | WARNING | 0.0.0.4 | 172.17.0.3 | dbservice1 | [cpu_anomalies] trigger a parallel fast sorting program , start at 2021-08-01 21:19:52.653779 and lasts 2.8777551651000977 seconds
"
6,2021-08-01,dbservice1,"2021-08-01 23:55:41,623 | WARNING | 0.0.0.4 | 172.17.0.3 | dbservice1 | [memory_anomalies] trigger a high memory program, start at 2021-08-01 23:45:34.985179 and lasts 600 seconds and use 1g memory
"
7,2021-08-01,dbservice1,
8,2021-08-01,webservice2,"2021-08-01 03:11:49,528 | INFO | 0.0.0.3 | 172.17.0.4 | webservice2 | upload business logs on 2021-07-31 successfully
"
9,2021-08-01,webservice2,"2021-08-01 03:14:53,695 | INFO | 0.0.0.3 | 172.17.0.4 | webservice2 | upload trace logs on 2021-07-31 successfully
"
10,2021-08-01,webservice2,"2021-08-01 03:14:53,829 | INFO | 0.0.0.3 | 172.17.0.4 | webservice2 | upload run_logs logs on 2021-07-31 successfully
"
11,2021-08-01,webservice2,"2021-08-01 05:38:16,030 | WARNING | 0.0.0.3 | 172.17.0.4 | webservice2 | [memory_anomalies] trigger a high memory program, start at 2021-08-01 05:28:15.047693 and lasts 600 seconds and use 1g memory
"
12,2021-08-01,webservice2,"2021-08-01 10:19:50,341 | WARNING | 0.0.0.3 | 172.17.0.4 | webservice2 | [memory_anomalies] trigger a high memory program, start at 2021-08-01 10:09:49.427582 and lasts 600 seconds and use 1g memory
"
13,2021-08-01,webservice2,"2021-08-01 18:28:30,079 | WARNING | 0.0.0.3 | 172.17.0.4 | webservice2 | [memory_anomalies] trigger a high memory program, start at 2021-08-01 18:18:29.139595 and lasts 600 seconds and use 1g memory
"
14,2021-08-01,webservice2,"2021-08-01 22:39:36,465 | WARNING | 0.0.0.3 | 172.17.0.4 | webservice2 | [memory_anomalies] trigger a high memory program, start at 2021-08-01 22:29:35.479577 and lasts 600 seconds and use 1g memory
"
15,2021-08-01,webservice2,
16,2021-08-01,dbservice2,"2021-08-01 03:11:19,709 | INFO | 0.0.0.2 | 172.17.0.2 | dbservice2 | upload business logs on 2021-07-31 successfully
"
17,2021-08-01,dbservice2,"2021-08-01 03:14:53,688 | INFO | 0.0.0.2 | 172.17.0.2 | dbservice2 | upload trace logs on 2021-07-31 successfully
"
18,2021-08-01,dbservice2,"2021-08-01 03:14:53,835 | INFO | 0.0.0.2 | 172.17.0.2 | dbservice2 | upload run_logs logs on 2021-07-31 successfully
"
19,2021-08-01,dbservice2,"2021-08-01 20:50:23,692 | WARNING | 0.0.0.2 | 172.17.0.2 | dbservice2 | [memory_anomalies] trigger a high memory program, start at 2021-08-01 20:40:22.812944 and lasts 600 seconds and use 1g memory
"
